Category, Entry
AMERICAN FEDERATION OF LABOR,"A. F. OF L. WEEKLY NEWS SERVICE (w) Sat. A. F. of L. Bldg., Washington, D. C. Official organ American Federation of Labor. Est. 1911, 7 cols., 2 pp. Columnist: Philip Pearl. Local and national labor news. No ads."
AMERICAN FEDERATION OF LABOR,"AMERICAN FEDERATIONIST (m) 1st of mo. A. F. of L. Bldg., Washington, D. C. Official organ American Federation of Labor. Established 1894, 7 by 10 in., 112 pp. av., $2 per yr., 20c per issue. Wil liam Green, ed. National labor and general news. Local and national ads. Uses mats."
AMERICAN FEDERATION OF LABOR,"BULLETIN OF THE METAL TRADES DEPARTMENT (m) 1st of mo. A. F. of L. Bldg., Washington, D. C. Official organ Metal Trades Department of the American Federation of Labor. Est. 1919. 6 by 9 in., 8 pp., 25c per yr. W. A. Calvin, sec-treas. Local and national labor news. No ads. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AFL AUTO WORKER, THE (f) 1st and 15th of mo. 1220 Francis Palms Bldg., Detroit, Mich. Official organ International Union, United Automobile Work ers of America. AFL. Est. 1939, 5 cols., 4 pp. Local and national labor news. No ads."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AIR LINE PILOT, THE (m) 1st of mo. 3145 W. 63d St., Chicago, Ill. Official organ The Air Line Pilots Association, International. AFL. Est. 1932, 5 cols., 8 pp., $2.50 per yr. D. L. Behncke, ed. Local and na tional labor and general news. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AMERICAN FLINT, THE (m) 1st of mo. Huron St. and Jefferson Ave., Toledo, O. Official organ Amer ican Flint Glass Workers' Union of North America. AFL. Est. 1909. 6i/2 by 10 in., 61 pp. av. H. H. Cook, ed. Local and national labor news. Consum ers notes. No ads. Uses mats. AFLWNS."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AMERICAN PHOTO-ENGRAVER, THE (m) 1st of mo. 3138 S. Grand Blvd., St. Louis, Mo. Official organ Inter. Photo-Engravers' Union of N. America. AFL. Est. 1908, 6 by 9 in., 86 pp. ay., $1 per yr., 25c per issue. Matthew Woll, ed. National labor news. Auxiliary news. National ads. Uses mats. 10,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AMERICAN PRESSMAN, THE (m) 1st of mo. Edit. Add. 100 E. Ohio St., Chicago, Ill. Pubn. Add. Pressman's Home, Tenn. Official organ International Printing Pressmen and Assistants' Union of North America. AFL. Est. 1893, 9 by 11i/2 in., 48 pp., $2 per yr. T. E. Dunwody, ed. National labor news. National ads, classified ads. Uses mats. 35,317 circ., sworn statement."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"AMERICAN TEACHER, THE (-m. ex. summer) 1st of mo. 506 S. Wabash Ave., Chicago, Ill. Official organ The American Federation of Teachers. AFL. Est. 1916, 8% by 11i/2 in., 32 pp. av., $2.50 per yr., 35c per issue. G. T. Guernsey, ed. National labor and general news. Book reviews. Local ads. 23,000 circ., publisher's report."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"ASBESTOS WORKER, THE (q) 1st of mo. Machin ists Bldg., Washington, D. C. Official organ The International Association of Heat and Frost Insula tors and Asbestos Workers. AFL. Est. 1890, 6% by 10V& in., 32 pp., 50c per yr. C. W. Sickles, sec.- treas. Local and national labor news. No ads. Uses mats., 4,000 circ., estimated."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BAGS AND BAGGAGE (m) 1st of mo. 3451 Michi gan Ave., Chicago, Ill. Official organ International Brotherhood of Red Caps. AFL. Est. 1937, 5 cols., 4 pp., 60c per yr., 5c per issue. Ernest Galloway, ed. Local and national labor news. Women's Auxiliary notes. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"BAKERS' JOURNAL (w) Sat. 2719 N. Wilton Ave., Chicago, Ill. Official organ Bakery and Confectionery Workers' International Union of America. AFL. Est. 1885, 4 cols., 4 pp., $1 per yr. Joseph Schmidt, ed. Local and national labor news, national general news. No ads. Uses mats."
